N;Coverage tin1 (%);AVERAGE topic tin1;ABS Coverage tin1 (%);Coverage tin5 (%);AVERAGE topic tin5;ABS Coverage tin5 (%);Coverage tin10 (%);AVERAGE topic tin10;ABS Coverage tin10 (%);Coverage tin15 (%);AVERAGE topic tin15;ABS Coverage tin15 (%);Coverage tin20 (%);AVERAGE topic tin20;ABS Coverage tin15 (%)
1;1,436;226,108;1,436;6,986;138,961;0,883;10,847;104,563;0,664;13,412;85,034;0,540;14,857;69,086;0,439
2;2,313;364,102;2,313;11,339;225,523;1,433;17,558;169,263;1,075;21,991;139,420;0,886;24,220;112,622;0,715
3;3,140;494,255;3,140;15,121;300,764;1,910;23,719;228,656;1,452;29,668;188,097;1,195;32,242;149,924;0,952
4;3,925;617,880;3,925;18,698;371,895;2,362;28,634;276,030;1,753;35,766;226,758;1,440;38,681;179,868;1,143
5;4,729;744,483;4,729;22,123;440,021;2,795;33,694;324,805;2,063;41,706;264,417;1,680;44,593;207,359;1,317
6;5,494;864,888;5,494;25,583;508,851;3,232;38,317;369,374;2,346;46,130;292,461;1,858;50,044;232,704;1,478
7;6,272;987,420;6,272;28,837;573,572;3,643;42,587;410,539;2,608;50,142;317,901;2,019;54,769;254,677;1,618
8;7,075;1113,803;7,075;31,940;635,289;4,035;46,296;446,293;2,835;54,265;344,043;2,185;58,791;273,379;1,737
9;7,881;1240,634;7,881;35,078;697,706;4,432;49,423;476,441;3,026;57,741;366,077;2,325;62,110;288,811;1,835
10;8,720;1372,837;8,720;37,899;753,810;4,788;52,904;509,993;3,239;61,027;386,910;2,458;65,011;302,301;1,920
11;9,574;1507,182;9,574;40,523;806,005;5,120;56,021;540,041;3,430;64,376;408,144;2,593;67,956;315,996;2,007
12;10,385;1634,892;10,385;43,314;861,509;5,472;59,044;569,185;3,615;67,093;425,371;2,702;70,484;327,748;2,082
13;11,236;1768,823;11,236;45,822;911,401;5,789;61,745;595,226;3,781;69,889;443,099;2,815;72,967;339,297;2,155
14;12,073;1900,691;12,073;48,436;963,395;6,120;64,249;619,363;3,934;72,385;458,924;2,915;75,275;350,027;2,223
15;12,954;2039,321;12,954;50,980;1013,987;6,441;66,577;641,798;4,077;74,660;473,347;3,007;77,341;359,634;2,284
16;13,872;2183,854;13,872;53,261;1059,371;6,729;68,852;663,733;4,216;76,682;486,167;3,088;79,187;368,219;2,339
17;14,797;2329,543;14,797;55,503;1103,954;7,012;70,940;683,863;4,344;78,594;498,286;3,165;81,165;377,416;2,397
18;15,753;2479,941;15,753;57,402;1141,724;7,252;73,080;704,496;4,475;80,553;510,706;3,244;82,659;384,366;2,442
19;16,755;2637,734;16,755;59,553;1184,504;7,524;74,909;722,124;4,587;82,054;520,221;3,304;84,154;391,315;2,486
20;17,746;2793,816;17,746;61,497;1223,176;7,770;76,738;739,751;4,699;83,649;530,336;3,369;85,363;396,936;2,521
AVERAGE;9,306;146511,028;9,306;37,495;74577,082;4,737;50,807;48977,683;3,111;58,089;36828,589;2,339;61,093;27858,593;1,805
;;;;;-0,51;;;-0,66;;;-0,75;;;-0,76;
